thresh,n_trades,win_rate,expectancy_R,profit_factor,total_R
0.55,4132,0.6023717328170377,1.6035649954613806,3.876409855885625,6625.930561246425
0.6,2481,0.6505441354292624,1.862946775760582,4.845295773815082,4621.970950662004
0.62,2050,0.6658536585365854,1.9208012077327061,5.089039582105042,3937.6424758520475
0.65,1831,0.671217913708356,1.9781581304162648,5.393453747614525,3622.007536792181
0.68,1226,0.7096247960848288,2.1025708119597053,5.940880434825941,2577.7518154625986
0.7,1225,0.7093877551020408,2.101749452267306,5.934921794844651,2574.64307902745
0.72,1130,0.7150442477876107,2.1170315064188396,6.021215322387237,2392.245602253289
0.75,844,0.7215639810426541,2.199214300498352,6.547360335293792,1856.136869620609
0.8,514,0.7470817120622568,2.313990187990082,7.423062739411086,1189.3909566269022
